U_BE,,I_B,,,U_BE,,U_CE,,I_C,
-2,mV,0,μA,,580,mV,10,V,710,μA
515,mV,1,μA,,580,mV,9.38,V,709,μA
540,mV,2,μA,,580,mV,8.88,V,708,μA
563,mV,4,μA,,580,mV,8.5,V,707,μA
584,mV,8,μA,,580,mV,8,V,706,μA
601,mV,16,μA,,580,mV,7.46,V,705,μA
614,mV,24,μA,,580,mV,7.11,V,704,μA
630,mV,42,μA,,580,mV,6.76,V,703,μA
644,mV,66,μA,,580,mV,6.35,V,702,μA
651,mV,82,μA,,580,mV,5.95,V,701,μA
661,mV,112,μA,,580,mV,6.13,V,700,μA
672,mV,148,μA,,580,mV,5.85,V,699,μA
,,,,,,,5.09,V,698,
,,,,,,,4.77,,697,
,,,,,,,4.68,,695,
,,,,,,,3.94,,693,
,,,,,,,2.7,,690,
,,,,,,,0.4,,685,
,,,,,,,0.2,,680,
,,,,,,,0.16,,660,
,,,,,,,0.13,,625,
,,,,,,,0.12,,601,
,,,,,,,0.1,,546,
,,,,,,,0.08,,485,
,,,,,,,0.06,,352,
,,,,,,,0.05,,330,
,,,,,,,0.04,,242,
,,,,,,,0.03,,164,
,,,,,,,0.02,,113,
,,,,,,,0.01,,33,
,,,,,,,0,,-21,
